place,nation,name,nation_2,lat,lon
Alger, Algeria,Algiers, Algeria,36.7753606,3.0601882
Tindouf, Algeria,Tindouf, Algeria,27.6718402,-8.1397297
Luanda, Angola,Luanda, Angola,-8.8272699,13.2439512
Lunda Norte, Angola,Lunda Norte, Angola,-7.381086,20.833799
Alibori, Benin,Alibori, Benin,11.1311029,2.9322321
Atakora, Benin,Atakora, Benin,10.3051511,1.3808554
Atlantique, Benin,Atlantique, Benin,6.3666147,2.0853599
Borgou, Benin,Borgou, Benin,9.3400159,2.6278258
Collines, Benin,Collines, Benin,7.9297324,1.9780951
Couffo, Benin,Kouffo, Benin,6.9489244,1.7041012
Donga, Benin,Donga, Benin,9.7106683,1.6651614
Littoral, Benin,Littoral, Benin,6.3676953,2.4252507
Mono, Benin,Mono, Benin,6.6458524,1.7171404
Oueme, Benin,Ou'e9m'e9, Benin,6.4990718,2.6253361
Plateau, Benin,Plateau, Benin,6.7377567,2.6551566
Zou, Benin,Zou, Benin,7.1820012,1.993632
Boucle Du Mouhoun, Burkina Faso,Mouhoun, Burkina Faso,12.4617,-3.457987
Bubanza, Burundi,Bubanza, Burundi,-3.0845915,29.3948368
Bujumbura Mairie, Burundi,Bujumbura Mairie, Burundi,-3.3638125,29.3675028
Bujumbura Rural, Burundi,Bujumbura Rural, Burundi,-3.3440762,29.483924
Bururi, Burundi,Bururi, Burundi,-3.9453227,29.6192469
Cankuzo, Burundi,Cankuzo, Burundi,-3.2204922,30.5495774
Cibitoke, Burundi,Cibitoke, Burundi,-2.8919231,29.1244074
Gitega, Burundi,Gitega, Burundi,-3.4284953,29.9249718
Karuzi, Burundi,Karuzi, Burundi,-3.1011687,30.1647524
Kayanza, Burundi,Kayanza, Burundi,-2.9297133,29.6321188
Kirundo, Burundi,Kirundo, Burundi,-2.5853872,30.0933449
Makamba, Burundi,Makamba, Burundi,-4.1347916,29.8046322
Muramvya, Burundi,Muramvya, Burundi,-3.2663248,29.6167289
Muyinga, Burundi,Muyinga, Burundi,-2.8453256,30.3393883
Mwaro, Burundi,Mwaro, Burundi,-3.5116676,29.7050017
Ngozi, Burundi,Ngozi, Burundi,-2.909091,29.8230442
Rutana, Burundi,Rutana, Burundi,-3.9263608,29.990574
Ruyigi, Burundi,Ruyigi, Burundi,-3.4733471,30.2501278
Adamaoua, Cameroon,Adamawa, Cameroon,7.3211962,13.5877302
Centre, Cameroon,Centre, Cameroon,3.8689867,11.5213344
Est, Cameroon,East, Cameroon,4.5777265,13.6844409
Extreme - Nord, Cameroon,Far North, Cameroon,10.6033083,14.3281625
Littoral, Cameroon,Littoral, Cameroon,4.0429408,9.706203
Nord, Cameroon,North, Cameroon,9.3070698,13.3934527
Nord - Ouest, Cameroon,Northwest, Cameroon,5.9614117,10.1516505
Ouest, Cameroon,West, Cameroon,5.4758083,10.4215565
Sud - Ouest, Cameroon,Southwest, Cameroon,4.1567995,9.2315519
Sao Vicente, Cape Verde,S'e3o Vicente, Cape Verde,16.778299,-24.884333
